Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     LRD -0.01979290 -0.01098955 -0.00468274 -0.00137187 -0.00004359  0.00000005  0.00028486  0.00270392  0.00611867  0.01101980  0.02047557  0.00023745 0.08849880   0.04693043 1700.67318744           6886
     LSL -0.03067030 -0.02405563 -0.01638335 -0.01128102 -0.00490163 -0.00000595  0.00475149  0.01176172  0.01765752  0.02704565  0.03543253  0.00014386 0.01192774   0.25405149   29.64538555           6886
     LTL -0.01508858 -0.01276429 -0.00938993 -0.00664789 -0.00289775  0.00000000  0.00263757  0.00659679  0.00936810  0.01270602  0.01564877 -0.00006330 0.00575289  -0.08039035    3.94027561           4805
     LUF -0.01553013 -0.01318676 -0.00995662 -0.00724539 -0.00345192  0.00000000  0.00335018  0.00728410  0.01015229  0.01310179  0.01593992 -0.00002949 0.00614008  -0.14775823    2.53724290           4805
     LVL -0.01696630 -0.01311108 -0.00917235 -0.00591750 -0.00258465 -0.00003205  0.00242272  0.00609443  0.00939322  0.01379875  0.01696854  0.00000589 0.00611766   0.06566230   18.39497279           4805
     LYD -0.01823068 -0.01273279 -0.00800250 -0.00508222 -0.00181186 -0.00001647  0.00181125  0.00537211  0.00843050  0.01362653  0.02035179  0.00038253 0.01878440  45.69157706 2698.01158044           6886
     MAD -0.01136319 -0.00966822 -0.00683286 -0.00494860 -0.00234915 -0.00000596  0.00225071  0.00502526  0.00717842  0.00948806  0.01136653 -0.00001208 0.00436004   0.06160527    5.47371388           6886
     MDL -0.01548404 -0.01210813 -0.00739461 -0.00459807 -0.00169008 -0.00001149  0.00186053  0.00479420  0.00753386  0.01214249  0.01647094  0.00005779 0.00541198   0.28059947   19.83433546           6886
     MGA -0.02708921 -0.01866390 -0.01080750 -0.00689117 -0.00235063  0.00003354  0.00251229  0.00697064  0.01154603  0.01956013  0.02648976  0.00013706 0.00992762   0.04028392   33.77569084           5522
     MGF -0.03458795 -0.02496496 -0.01326883 -0.00808519 -0.00365611  0.00005823  0.00384585  0.00821615  0.01299737  0.02374469  0.03771783  0.00031565 0.01298489   4.33945841   71.21810296           1307
     MKD -0.01914189 -0.01393763 -0.00974887 -0.00673696 -0.00280185 -0.00000045  0.00266685  0.00658323  0.00981232  0.01452890  0.01924887 -0.00001655 0.00689306   0.72773578   28.90621598           6886
